0,0.5,acctran,stratigraphy,Age
3,0.5,deltran,stratigraphy,Age
1,1,gradual,stratigraphy,Age
0,0.5,proximity,stratigraphy,Age
2,1,punctuated,stratigraphy,Age
2,1,random,stratigraphy,Age
1,1,acctran,duration,Age
1,1,deltran,duration,Age
1,1,gradual,duration,Age
1,1,proximity,duration,Age
1,1,punctuated,duration,Age
1,1,random,duration,Age
1,1,acctran,number,Age
1,1,deltran,number,Age
1,1,gradual,number,Age
0,0.5,proximity,number,Age
0,0.5,punctuated,number,Age
1,1,random,number,Age
1,1,acctran,stratigraphy,Epoch
3,0.5,deltran,stratigraphy,Epoch
2,1,gradual,stratigraphy,Epoch
1,1,proximity,stratigraphy,Epoch
2,1,punctuated,stratigraphy,Epoch
2,1,random,stratigraphy,Epoch
0,0.5,acctran,duration,Epoch
1,1,deltran,duration,Epoch
1,1,gradual,duration,Epoch
0,0.5,proximity,duration,Epoch
1,1,punctuated,duration,Epoch
1,1,random,duration,Epoch
0,0.5,acctran,number,Epoch
2,1,deltran,number,Epoch
0,0.5,gradual,number,Epoch
0,0.5,proximity,number,Epoch
0,0.5,punctuated,number,Epoch
0,0.5,random,number,Epoch
